"gameNumber","dimension","nThreads","initTime","resolutionTime"
22,20,4,0.006184,0.001824
23,20,4,0.034169,0.004974
24,20,4,0.021326,0.002770
25,20,4,0.014523,0.002123
26,20,4,0.012069,0.002329
27,20,4,0.023039,0.003223
28,20,4,0.026298,0.005160
29,20,4,0.024021,0.003716
30,30,4,1.082381,0.092100
31,30,4,1.103113,0.175852
32,30,4,0.601913,0.052156
33,30,4,1.145724,0.100782
34,30,4,0.937680,0.089532
35,30,4,0.795945,0.081427
36,30,4,0.676879,0.076524
37,30,4,0.841542,0.108150
38,30,4,1.035011,0.096479
39,30,4,1.752749,0.131499
40,40,4,59.180922,4.738458
41,40,4,16.364676,2.227678
42,40,4,33.309235,2.361998
43,40,4,29.865466,4.170152
44,40,4,18.135371,1.567350
45,40,4,32.663624,3.557261
